标题：上大19机械考研党呢	链接：http://tieba.baidu.com/p/5898629211	创建时间：2018-09	作者：纠结唉baby	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：130	
标题：构建社工考研之家	链接：http://tieba.baidu.com/p/5997761671	创建时间：1-4	作者：社工考研...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：上大环艺 视觉 都市手工艺考研专业课 有问必答	链接：http://tieba.baidu.com/p/5947032999	创建时间：2018-11	作者：焦焦焦焦...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：35	
标题：2019年上海大学新闻与传播研究专业考研🙋🏻♀️	链接：http://tieba.baidu.com/p/5935451993	创建时间：2018-11	作者：Moon	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：13	
标题：有小老哥或小可爱 卖自行车的吗，收一辆自行车!! 死飞的不要	链接：http://tieba.baidu.com/p/5997448388	创建时间：1-4	作者：自动化13...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：4	
标题：有没有小伙伴考完研转让房子的呀想在上大附近租房呢有的小可爱联	链接：http://tieba.baidu.com/p/5987424368	创建时间：2018-12	作者：苏东坡吃...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：15	
标题：有考上上大新闻传播的学长学姐么？求加联系方式 求指导	链接：http://tieba.baidu.com/p/5996938243	创建时间：1-3	作者：步步111222	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：1	
标题：你好哦，我是20届考研哒 ，想在贴吧里找一下上海大学已经考上	链接：http://tieba.baidu.com/p/5997043186	创建时间：1-3	作者：麋鹿安l	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：6	
标题：求购建筑工程和土木工程的教材	链接：http://tieba.baidu.com/p/5997558465	创建时间：1-4	作者：Gifty	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：求购国家软考 高级 系统分析师 教程	链接：http://tieba.baidu.com/p/5997541391	创建时间：1-4	作者：aishangzailu	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：上海大学软件工程专硕考研资料有人要吗😊	链接：http://tieba.baidu.com/p/5995246631	创建时间：1-1	作者：情染岚殇	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：4	
标题：上海大学延长校区自习室	链接：http://tieba.baidu.com/p/5511503583	创建时间：2018-01	作者：鱼泡泡lyf	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：16	
标题：18上海大学有机化学已拟录取，有需要综合化学和有机化学资料的	链接：http://tieba.baidu.com/p/5706614744	创建时间：2018-05	作者：FFire	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：31	
标题：认真脸.jpg，有没有人帮忙做在线作业，给酬劳，在校生最好，	链接：http://tieba.baidu.com/p/5997523374	创建时间：1-4	作者：九月	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：19考研学弟，求上海大学区域经济学学长或者学姐指点一下复试相	链接：http://tieba.baidu.com/p/5996690134	创建时间：1-3	作者：远方谁挥...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：11	
标题：广大上海同志需要注意了，传说的上海sm什么的机会关闭了，小厂	链接：http://tieba.baidu.com/p/5990935168	创建时间：2018-12	作者：冬天里的...	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：2	
标题：亲们，上大和中国海洋大学，我该如何抉择	链接：http://tieba.baidu.com/p/2647670585	创建时间：2013-10	作者：不必解释o	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：80	
标题：上大20计算机经济研友呢	链接：http://tieba.baidu.com/p/5934860458	创建时间：2018-11	作者：张礼同13	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：69	
标题：上海大学会计学硕	链接：http://tieba.baidu.com/p/5997432297	创建时间：1-4	作者：张阳jiayou	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：寻上大2020研友	链接：http://tieba.baidu.com/p/5957229100	创建时间：2018-11	作者：Lenore	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：36	
标题：全球史柴彬到底怎么样？	链接：http://tieba.baidu.com/p/5945243379	创建时间：2018-11	作者：你好吗1522	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：1	
标题：有专业是机械工程(或相关机械专业)的在读研究生吗？想请教下关	链接：http://tieba.baidu.com/p/5992553285	创建时间：2018-12	作者：Acyshuang	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：6	
标题：今天能不能刷晨跑啊	链接：http://tieba.baidu.com/p/5997391701	创建时间：1-4	作者：丶Maison_	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：0	
标题：有没有日语的同学！！求助求助！！有偿的！	链接：http://tieba.baidu.com/p/5995599575	创建时间：1-2	作者：嘻嘻嘻	发帖图片地址:：没图片	最后的回复时间：1-4	回复数量：9	
标题：【电影学】写给20年备考上大电影学专业的学弟学妹们	链接：http://tieba.baidu.com/p/5996949575	创建时间：1-3	作者：念去烟波...	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：3	
标题：19考研党 上大新传专硕资料有需要的话欢迎留言🙇🏻♀️	链接：http://tieba.baidu.com/p/5997202613	创建时间：1-3	作者：榕树下L	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：0	
标题：19考研党，想找材料力学和结构力学的专业课辅导，工程造价专业	链接：http://tieba.baidu.com/p/5802125323	创建时间：2018-07	作者：朝天一边	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：17	
标题：寻人启事	链接：http://tieba.baidu.com/p/5997175244	创建时间：1-3	作者：菲与旭	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：0	
标题：19考研党 刚考完 数学遭遇滑铁卢 听说专业课也压分 心里很	链接：http://tieba.baidu.com/p/5996479095	创建时间：1-3	作者：花花最可...	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：3	
标题：找一个学计算机的，会centos，jsp，java，mysql	链接：http://tieba.baidu.com/p/5997104971	创建时间：1-3	作者：渔北海	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：0	
标题：上海大学附近有哪些比较好的吉他社呢，想学琴。最好是锦秋花园附	链接：http://tieba.baidu.com/p/5985620568	创建时间：2018-12	作者：迷夜	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：16	
标题：有没有需要一起申请春季学期开微积分2的同学啊！	链接：http://tieba.baidu.com/p/5593949983	创建时间：2018-03	作者：我从小就...	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：15	
标题：来自20学妹求助贴: 我本人是传播学专业，想考上	链接：http://tieba.baidu.com/p/5995846637	创建时间：1-2	作者：贴吧用户_...	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：8	
标题：【资讯】兼职、实习、租房信息发布专贴	链接：http://tieba.baidu.com/p/4191768066	创建时间：2015-12	作者：上大吧务组	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：1146	
标题：19考研 求上海大学新闻与传播学硕资料 么么哒~	链接：http://tieba.baidu.com/p/5789888652	创建时间：2018-07	作者：糖醋肉原子	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：4	
标题：分享：19考研学弟，求上海大学区域经济学学长或者学姐指点一下复试相	链接：http://tieba.baidu.com/p/5996690739	创建时间：1-3	作者：远方谁挥...	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：1	
标题：想考上海大学音乐学院。有没有学长学姐	链接：http://tieba.baidu.com/p/5996877940	创建时间：1-3	作者：唐婉	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：0	
标题：求宝山校区校园网，租用价格可商量，谢谢~~	链接：http://tieba.baidu.com/p/5996115597	创建时间：1-2	作者：Mayday晴_	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：0	
标题：想问下上大的管理学院和经济学院哪个的经济学好点？还有调剂相关	链接：http://tieba.baidu.com/p/5994760371	创建时间：1-1	作者：一百得到	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：4	
标题：19考研报的是上海大学，马上要去上海旅游了，想去学校学校看看	链接：http://tieba.baidu.com/p/5996107669	创建时间：1-2	作者：我是liwenwen	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：8	
标题：说食堂槽点，赢新2019的第一份猪饲料	链接：http://tieba.baidu.com/p/5996619421	创建时间：1-3	作者：伴饭君	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：3	
标题：19生物学刚考完，求复试资料，但贴吧里有很多骗子，没错，我就	链接：http://tieba.baidu.com/p/5996240859	创建时间：1-2	作者：wenqing16854	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：1	
标题：请问学长学姐们，非英语专业的考研想考上大的英语语言文学好考吗	链接：http://tieba.baidu.com/p/5996511627	创建时间：1-3	作者：粗糙阿茹	发帖图片地址:：没图片	最后的回复时间：1-3	回复数量：1	
