118.190.200.139 8080
119.101.115.114 9999
119.101.112.96 9999
49.51.68.122 1080
182.40.168.171 8118
119.101.116.102 9999
119.101.115.120 9999
119.101.113.54 9999
119.101.112.179 9999
223.82.247.122 80
119.101.113.23 9999
211.87.234.251 3128
119.101.115.106 9999
119.101.115.221 9999
119.101.116.140 9999
119.101.116.166 9999
59.37.33.62 50686
119.101.113.240 9999
119.101.113.36 9999
221.239.86.26 32228
39.107.84.185 8123
47.94.104.204 8118
123.127.93.188 44399
117.90.137.210 9000
118.190.94.224 9001
218.22.7.62 53281
116.209.56.188 9999
116.209.59.116 9999
182.241.226.25 43257
119.179.137.87 8060
39.134.67.173 8080
111.177.181.226 9999
27.188.64.70 8060
111.203.133.96 80
113.65.5.181 8118
116.209.59.139 9999
119.180.154.197 8060
49.51.70.42 1080
36.99.17.52 80
59.62.166.134 9999
110.52.235.214 9999
111.177.179.192 9999
47.94.104.204 8118
111.177.178.149 9999
111.177.169.12 9999
182.111.120.11 9999
111.177.168.22 9999
111.177.191.109 9999
111.177.178.149 9999
163.204.240.119 9999
163.204.245.206 9999
163.204.245.64 9999
111.177.179.192 9999
163.204.244.89 9999
111.177.172.230 9999
111.230.237.187 8118
111.177.177.85 9999
111.177.179.192 9999
111.177.168.22 9999
202.104.150.130 58729
163.204.245.35 9999
202.104.150.130 58729
111.230.237.187 8118
136.228.128.164 46458
47.94.104.204 8118
136.228.128.164 46458
202.104.150.130 58729
111.177.169.12 9999
